epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,2675.76,1.05964,0.4525,0.88396,0.96893,0.96024,0.96729,0.67284,1.08707,0.55842,0.91882,0.000742625,0.000742625,0.000742625
43,2724.84,1.03841,0.44529,0.87677,0.93725,0.9315,0.96014,0.68068,1.07245,0.53128,0.91362,0.00073025,0.00073025,0.00073025
44,2809.08,1.02514,0.44936,0.88214,0.98714,0.95551,0.96239,0.6805,1.02804,0.50469,0.90024,0.000717875,0.000717875,0.000717875
45,2847.08,0.99742,0.43611,0.87301,0.91035,0.95347,0.95847,0.68977,1.04628,0.51667,0.90029,0.0007055,0.0007055,0.0007055
46,2879.91,1.01886,0.43639,0.8779,0.89781,0.8715,0.89606,0.6034,1.09597,0.51875,0.93135,0.000693125,0.000693125,0.000693125
47,2919.91,1.01457,0.4403,0.88149,0.93729,0.94866,0.9534,0.66006,1.02324,0.49668,0.91006,0.00068075,0.00068075,0.00068075
48,3033.18,1.01997,0.44114,0.88094,0.92151,0.94473,0.96097,0.64677,1.0671,0.52725,0.92455,0.000668375,0.000668375,0.000668375
49,3074.34,1.00912,0.43372,0.87365,0.96441,0.95951,0.97388,0.65251,1.04801,0.49485,0.92012,0.000656,0.000656,0.000656
50,3126.12,1.00515,0.43087,0.87282,0.97218,0.95861,0.97274,0.68671,1.06198,0.52983,0.91369,0.000643625,0.000643625,0.000643625
51,3180.08,1.01722,0.43142,0.87464,0.98088,0.9611,0.97366,0.69577,1.03275,0.48827,0.90167,0.00063125,0.00063125,0.00063125
52,3276.73,1.02086,0.43539,0.87765,0.96952,0.9424,0.9636,0.66531,1.0753,0.49428,0.90143,0.000618875,0.000618875,0.000618875
53,3312.24,0.99358,0.4302,0.8709,0.96102,0.95653,0.96868,0.70392,0.97425,0.48044,0.89145,0.0006065,0.0006065,0.0006065
54,3366.47,0.97866,0.42295,0.87024,0.95638,0.95563,0.97092,0.64592,1.21711,0.53436,0.93487,0.000594125,0.000594125,0.000594125
55,3405.77,1.00288,0.4329,0.87372,0.97522,0.96104,0.97456,0.65439,1.14915,0.52382,0.92558,0.00058175,0.00058175,0.00058175
56,3451.89,1.01843,0.43818,0.87351,0.97603,0.9745,0.97436,0.722,0.89727,0.48427,0.88672,0.000569375,0.000569375,0.000569375
57,3503.61,0.99511,0.43382,0.87497,0.98586,0.94608,0.97563,0.70481,0.99469,0.57511,0.88849,0.000557,0.000557,0.000557
58,3557.29,0.99923,0.43243,0.87616,0.96722,0.935,0.96808,0.71394,1.0232,0.51828,0.88638,0.000544625,0.000544625,0.000544625
59,3639.74,0.98899,0.42453,0.87179,0.97858,0.97197,0.97574,0.68391,1.17475,0.52027,0.90477,0.00053225,0.00053225,0.00053225
60,3678.25,0.9817,0.42284,0.86882,0.98937,0.95984,0.97656,0.68332,1.11054,0.51802,0.90148,0.000519875,0.000519875,0.000519875
61,3724.91,0.9774,0.42083,0.86496,0.98775,0.96444,0.97759,0.69268,1.09546,0.50258,0.89528,0.0005075,0.0005075,0.0005075
62,3767.99,0.98793,0.42467,0.86757,0.98655,0.9665,0.97695,0.70977,1.0436,0.49974,0.89219,0.000495125,0.000495125,0.000495125
63,3809.94,0.97541,0.41934,0.86684,0.94905,0.96443,0.97321,0.68752,1.08048,0.5139,0.89862,0.00048275,0.00048275,0.00048275
64,3856.87,0.97212,0.41962,0.86666,0.96766,0.9665,0.97469,0.70274,1.03739,0.47647,0.88957,0.000470375,0.000470375,0.000470375
65,3900,0.97659,0.42276,0.86532,0.94013,0.96061,0.97299,0.70863,1.01284,0.50216,0.89749,0.000458,0.000458,0.000458
66,4016.27,0.96516,0.41842,0.86215,0.97437,0.96653,0.9728,0.73652,0.89507,0.45755,0.86971,0.000445625,0.000445625,0.000445625
67,4065.22,0.95607,0.41409,0.86482,0.98667,0.95566,0.97487,0.71253,1.01946,0.48258,0.89474,0.00043325,0.00043325,0.00043325
68,4105.78,0.93471,0.40826,0.85886,0.9758,0.95877,0.97336,0.72916,0.92234,0.46102,0.8793,0.000420875,0.000420875,0.000420875
69,4150.1,0.96167,0.41342,0.86059,0.99157,0.96107,0.97773,0.74938,0.96688,0.45253,0.87439,0.0004085,0.0004085,0.0004085
70,4187.39,0.94015,0.40994,0.85955,0.97515,0.96657,0.9756,0.74535,0.87836,0.45679,0.87705,0.000396125,0.000396125,0.000396125
